x,y
0.299514,-0.020731
0.315327,-0.042190
0.331139,-0.048321
0.221669,0.062040
0.233832,-0.253717
0.366413,-0.129560
0.333572,0.074302
0.187612,0.221451
0.248428,-0.005403
0.460070,-0.020731
0.323841,-0.339553
0.293433,-0.368676
0.413850,-0.106568
0.484397,-0.094305
0.002729,-0.137224
0.272755,-0.008469
0.249645,-0.039125
0.321408,-0.413128
0.265457,0.284296
0.686308,0.353272
0.343302,-0.368676
-0.036194,-0.152552
-0.235672,-0.055985
0.149905,0.577061
0.766586,0.537208
0.363980,-0.078977
-0.070251,0.196926
0.058680,0.506552
0.048950,-0.112699
0.233832,-0.118830
0.479532,-0.416193
0.861460,-0.833115
0.900383,-2.203437
0.383441,-3.241142
0.708202,-4.436725
0.810374,-5.137214
1.470843,-3.040345
3.106811,-2.197306
2.205508,-0.098904
-0.928982,2.909981
-1.209955,4.162278
-1.228200,3.811267
-2.395879,3.188950
-3.692490,3.520035
-2.040710,1.861546
-3.320292,-0.374808
-2.695097,-1.093690
-1.894750,-0.951140
-2.563733,-1.081428
-1.568773,0.077368
0.092738,-0.088174
1.051208,0.460568
1.304205,0.623044
3.463196,1.282148
4.028791,0.298091
2.587437,-0.262913
2.644604,-0.060584
2.063197,-0.167880
0.616977,-0.667572
0.275188,-0.170945
0.546430,-0.063649
0.411417,-0.667572
0.196126,-0.459112
0.272755,-0.103502
0.522103,0.054376
0.708202,-0.324225
0.750774,-0.452980
1.024449,-0.305832
0.578055,-0.221528
0.236265,-0.039125
0.710635,0.138680
0.598732,-0.166347
0.036786,-0.302766
0.202208,-0.357947
0.365196,-0.250651
0.643737,-0.511227
0.104901,-0.367144
0.196126,-0.319627
0.742260,0.098827
0.483181,-0.218462
0.463719,-0.101969
0.138958,-0.523489
0.096387,-0.043723
-0.058087,-0.060584
-0.286758,-0.244520
0.095170,-0.192405
0.608463,-0.167880
0.508724,-0.394734
0.115848,-0.403931
-0.148096,-0.278241
0.525752,0.216853
0.084223,-0.298168
0.377360,0.101893
0.267890,-0.020731
-0.099443,-0.170945
0.040435,0.055909
0.489262,0.270501
0.292216,0.097294
0.160852,-0.109633
-0.155394,0.140213
0.304380,0.077368
0.376143,-0.051387
-0.187019,0.005326
0.158420,0.206123
0.151122,0.193861
0.036786,0.178533
0.121930,0.135614
0.170583,0.227582
0.155987,0.181598
0.187612,0.037515
-0.114039,-0.046789
-0.308652,0.184664
-0.027679,0.065106
-0.004569,0.037515
0.097603,-0.011534
0.270322,-0.103502
-0.007002,0.111090
-0.611519,0.039048
-0.607870,0.135614
-0.201615,0.048245
-0.033761,-0.109633
0.063546,0.035982
-0.551919,-0.115765
-0.560433,-0.232257
-0.603005,-0.054453
-0.173639,0.083499
-0.455828,0.187730
-0.731936,0.840702
-0.163908,0.403854
0.065978,-0.219995
-0.407175,0.201525
-0.719773,0.785521
-0.965472,0.216853
-0.415689,-0.177077
-0.874247,-0.262913
-0.831675,0.285829
-0.832892,0.425313
-0.880329,0.753332
-0.671119,0.607717
-0.761128,0.382395
-0.583543,0.715012
-0.747748,0.226050
-0.702744,0.273566
-1.043317,0.209189
-1.074942,-0.057518
-0.654091,-0.028395
-0.831675,-0.039125
-0.803700,0.095762
-0.834108,0.408453
-0.671119,0.411518
-0.759912,0.305755
-0.933847,0.178533
-0.807349,0.193861
-0.800051,0.227582
-0.634629,0.393125
-0.666254,0.555601
-0.823161,0.448305
-0.697879,0.399256
-0.866949,0.359403
-0.817079,0.432977
