x,y
-1.159379,-0.255808
-1.098911,-0.167265
-0.834104,-0.216663
-0.548446,-0.159809
-0.692317,-0.349011
-0.585977,-0.400273
-0.258617,-0.322914
-0.644360,-0.152352
-0.250277,-0.390020
-0.402489,-0.212934
-0.871636,-0.054489
-0.925848,-0.022800
-0.408744,-0.352739
-0.423340,-0.341555
-0.471297,-0.341555
-0.688147,-0.063809
-0.354532,-0.139304
-0.029257,-0.442214
-0.404574,-0.624893
-0.529680,-0.438486
-0.339936,-0.309866
0.079169,-0.089906
-0.450446,0.457197
-1.201081,1.790935
-1.417931,2.544949
-0.337851,2.741607
-0.925848,3.344632
-1.703589,3.300827
0.421124,2.346426
1.557502,0.849582
2.322733,-1.072268
0.950739,-0.511185
-1.638951,-0.479496
-3.411283,0.278247
1.626310,-0.688271
5.417016,-6.410948
-5.688209,2.331513
-2.364565,-2.076067
0.483677,-2.541151
0.909037,-2.776955
1.428226,-1.329509
2.201797,-0.975337
1.150908,-1.473042
-1.109337,0.989387
0.016616,-1.748923
-0.708998,-1.228849
-0.352447,0.890592
-0.116831,0.845854
0.635889,-0.067537
-0.804913,0.922281
-0.894572,2.227126
-2.176906,2.447085
-2.700265,2.575706
-2.147715,2.064020
1.522055,1.332375
0.310614,0.814165
-1.993418,1.293230
-0.950869,1.339831
0.646315,1.310006
0.677591,0.324848
-0.754870,-0.326642
-0.050107,0.212072
-0.221085,0.176655
0.302274,0.026598
0.066658,-0.425438
0.270997,-0.393749
0.074998,0.074132
0.033296,-0.102955
0.012445,-0.167265
-0.721509,0.169199
-0.075129,0.115141
0.329380,-0.117867
0.679676,-0.250216
0.525379,-0.293089
-0.177298,0.056423
0.391933,0.025666
0.314784,-0.105751
0.254317,-0.283769
0.100019,-0.188702
0.865250,-0.150488
0.775591,0.005161
0.152147,-0.111343
0.133381,-0.395613
0.010360,0.060151
0.579592,-0.007887
0.790187,-0.216663
0.658825,-0.529825
0.231381,-0.073130
0.650485,0.008889
0.811037,-0.049829
0.562911,-0.138372
0.218870,-0.143964
0.362742,-0.134644
0.158402,0.049899
0.961164,-0.275381
0.546230,-0.207342
0.100019,-0.076858
0.408614,-0.129051
0.535805,-0.169129
0.400273,-0.166333
0.504528,-0.244623
0.504528,-0.171925
0.252232,-0.046101
0.296019,-0.196158
0.041637,-0.056353
0.175083,0.187839
0.262657,-0.085246
0.456571,-0.207342
0.633804,0.016346
0.308529,0.003297
0.233466,-0.071266
0.039552,-0.177517
0.675506,-0.160741
0.327295,-0.114139
0.120870,-0.039576
0.072913,-0.162605
0.166743,-0.004159
-0.095980,-0.042373
0.029126,-0.132780
0.508698,-0.305206
0.308529,-0.228779
0.162572,-0.006023
0.256402,0.048967
0.337721,0.029394
-0.173128,0.041510
0.208445,-0.102955
0.145892,0.000501
0.262657,-0.039576
0.291848,-0.142100
0.045807,-0.129051
0.298104,-0.207342
-0.033427,-0.106683
0.300189,-0.168197
0.266827,-0.105751
-0.050107,-0.069401
-0.135596,-0.047033
0.033296,-0.123459
0.341891,-0.123459
0.354401,-0.175653
-0.054278,0.009821
0.062488,-0.160741
0.106275,-0.075926
0.133381,0.109549
0.237636,-0.013480
0.233466,-0.155148
0.316870,-0.177517
0.187594,-0.027460
-0.100150,-0.026528
0.110445,-0.067537
0.187594,-0.138372
0.325210,-0.145828
0.241806,-0.022800
0.033296,-0.048897
-0.029257,-0.158877
0.193849,-0.160741
0.396103,-0.088042
0.191764,-0.156080
-0.158533,-0.171925
0.122956,-0.074994
-0.083469,-0.065673
